=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.10.07 14:57:35 =~=~=~=~=~=~=~=~=~=~=~=
1852, -1.23, -3.42, -77.80, -0.01, 0.03, 0.99
1863, -0.86, -3.72, -76.58, -0.04, -0.02, 0.99
1873, -0.62, -3.23, -72.92, -0.04, -0.02, 0.99
1885, -0.74, -2.75, -65.90, -0.12, -0.08, 1.00
1896, -0.49, -2.32, -55.65, -0.12, -0.08, 1.00
1906, -0.49, -2.07, -43.56, -0.13, -0.04, 1.00
1917, -0.13, -1.28, -34.16, -0.13, -0.04, 1.00
1929, -0.68, -1.10, -32.51, -0.09, 0.02, 0.99
1940, -0.43, -1.83, -39.05, -0.09, 0.10, 1.00
1950, 0.12, -2.01, -51.80, -0.09, 0.10, 1.00
1961, -0.92, -3.29, -68.53, -0.11, 0.16, 0.98
1973, -1.17, -4.03, -80.49, -0.11, 0.16, 0.98
1984, -1.29, -4.09, -85.25, -0.09, 0.05, 0.96
1994, -0.98, -3.60, -77.19, -0.09, 0.05, 0.96
2006, -0.68, -3.05, -62.12, -0.09, -0.08, 0.97
2017, -0.68, -2.32, -50.21, -0.09, -0.08, 0.97
2028, -0.62, -1.95, -42.59, -0.06, -0.08, 0.99
2038, -0.37, -1.83, -35.63, -0.06, -0.08, 0.99
2050, -0.31, -1.34, -32.09, -0.06, -0.01, 0.99
2061, -0.31, -1.59, -33.55, -0.09, 0.11, 0.99
2072, -0.37, -1.77, -36.66, -0.09, 0.11, 0.99
2082, -0.31, -1.52, -40.63, -0.06, 0.11, 0.99
2094, 0.06, -2.38, -44.17, -0.06, 0.11, 0.99
2105, -0.43, -2.81, -50.83, -0.08, 0.17, 1.02
2115, -0.43, -2.81, -59.00, -0.08, 0.17, 1.02
2126, -0.74, -2.75, -64.31, -0.11, 0.08, 1.02
2138, -0.86, -3.29, -66.82, -0.11, 0.08, 1.02
2149, -0.31, -2.93, -64.25, -0.14, 0.01, 1.00
2159, -1.35, -2.68, -58.58, -0.14, -0.05, 0.99
2170, -0.92, -2.38, -50.28, -0.09, -0.05, 0.99
2182, -0.37, -1.95, -41.98, -0.07, 0.01, 0.97
2193, -0.01, -1.65, -37.64, -0.07, 0.01, 0.97
2203, -0.37, -1.65, -43.44, -0.09, 0.15, 0.99
2214, -0.55, -2.44, -55.40, -0.09, 0.15, 0.99
2226, -0.86, -2.93, -72.49, -0.08, 0.21, 0.96
2237, -1.17, -4.03, -88.00, -0.08, 0.21, 0.96
2247, -1.04, -4.39, -96.97, -0.07, 0.11, 0.96
2258, -1.10, -4.03, -91.84, -0.07, 0.11, 0.96
2270, -0.86, -3.05, -73.29, -0.11, -0.14, 1.00
2280, -0.49, -2.56, -52.60, -0.07, -0.07, 0.98
2291, -0.62, -1.77, -42.16, -0.07, -0.07, 0.98
2302, -0.49, -1.65, -39.66, -0.08, 0.00, 0.98
2314, -0.25, -2.07, -41.49, -0.08, 0.00, 0.98
